iter	Logloss
0	0.6891089398
1	0.685077435
2	0.6806716919
3	0.676548369
4	0.6729158484
5	0.669270192
6	0.6653028405
7	0.6617149021
8	0.6579997851
9	0.654593758
10	0.6505000902
11	0.6472738515
12	0.6435591988
13	0.6400024414
14	0.6369727093
15	0.6334467349
16	0.6305157205
17	0.6270403655
18	0.6234662263
19	0.6202468209
20	0.6172901983
21	0.6141975071
22	0.6112863292
23	0.6080335534
24	0.6048044619
25	0.6018563975
26	0.5982899541
27	0.5955535225
28	0.5928221329
29	0.5899338432
30	0.5872711845
31	0.5846078624
32	0.5818977688
33	0.5792094355
34	0.5768318508
35	0.5745232624
36	0.5722639001
37	0.5700809645
38	0.5672652535
39	0.5645881985
40	0.5624016803
41	0.5602730793
42	0.5576588506
43	0.5551779042
44	0.5527136429
45	0.550541886
46	0.5486413707
47	0.5461449665
48	0.5440189859
49	0.5417280778
50	0.5395050712
51	0.5376784283
52	0.5360224848
53	0.5341031282
54	0.5319970836
55	0.5300278373
56	0.5285618326
57	0.526804385
58	0.5248642631
59	0.5228936237
60	0.5214693152
61	0.5197992739
62	0.5180847168
63	0.5165663014
64	0.5150913404
65	0.513080995
66	0.5113354559
67	0.5100601528
68	0.5081495866
69	0.5062318885
70	0.5045967102
71	0.5028017459
72	0.5010289731
73	0.4997621619
74	0.4982231472
75	0.4968883349
76	0.4953463015
77	0.4938212519
78	0.4921599347
79	0.4908853282
80	0.4893018308
81	0.4879039599
82	0.4866817309
83	0.4857617586
84	0.4844155685
85	0.4830971759
86	0.4820233221
87	0.4810638428
88	0.4798921336
89	0.4786047894
90	0.477680538
91	0.4767963575
92	0.475908097
93	0.47469091
94	0.4735553907
95	0.4724234208
96	0.4712431534
97	0.4704637942
98	0.4694093787
99	0.4683863764
100	0.4674195663
101	0.4662926052
102	0.4649473107
103	0.4636855416
104	0.4627531632
105	0.4618430428
106	0.4610305454
107	0.4600984988
108	0.4591142074
109	0.4582782911
110	0.4569119992
111	0.4556306922
112	0.4548200856
113	0.4539334505
114	0.4529307822
115	0.4517284891
116	0.4511134604
117	0.4503825312
118	0.4491829914
119	0.4482222847
120	0.4472898732
121	0.4464472895
122	0.4454789535
123	0.444785342
124	0.4439695939
125	0.4431015678
126	0.4420968761
127	0.4411213419
128	0.4403914078
129	0.4397924672
130	0.4389031452
131	0.438094562
132	0.4369804382
133	0.4362025717
134	0.4352759652
135	0.4347476462
136	0.4339587668
137	0.4330688477
138	0.4323469742
139	0.4316762841
140	0.4313019131
141	0.4304796302
142	0.4298666249
143	0.4289533532
144	0.4282526431
145	0.4274855572
146	0.4265821374
147	0.4253889664
148	0.4245808477
149	0.4239039545
150	0.4232280565
151	0.4225383924
152	0.4219688747
153	0.4215412969
154	0.4209452753
155	0.4203368145
156	0.4195052105
157	0.419007774
158	0.4185459303
159	0.4179980402
160	0.4175655863
161	0.4173763109
162	0.416753885
163	0.4164003787
164	0.416043124
165	0.4155974015
166	0.4151095183
167	0.4145749963
168	0.4136073237
169	0.4129577637
170	0.4124331267
171	0.4119456747
172	0.4112545511
173	0.4108175526
174	0.4103478473
175	0.4099312492
176	0.4092799643
177	0.4091390195
178	0.4086701766
179	0.4081199314
180	0.4076646556
181	0.4072523034
182	0.4066766158
183	0.4062326182
184	0.4057846733
185	0.405195485
186	0.4046206267
187	0.4039976037
188	0.4035397737
189	0.402701834
190	0.4022977083
191	0.4017982151
192	0.401330102
193	0.4009832631
194	0.4004813153
195	0.4000393411
196	0.3997053727
197	0.3990390612
198	0.3987388279
199	0.3984430064
200	0.3979435133
201	0.3971602067
202	0.3968248782
203	0.3961763797
204	0.3955541196
205	0.3951943439
206	0.3947910806
207	0.3942390774
208	0.3939856156
209	0.3935627149
210	0.3930105458
211	0.3926318625
212	0.39227348
213	0.3917264524
214	0.3911739515
215	0.3907810377
216	0.3904193381
217	0.3901006947
218	0.3898372484
219	0.389775185
220	0.3894433726
221	0.3891187585
222	0.3888547151
223	0.3885171641
224	0.3879771689
225	0.3875497569
226	0.3871738268
227	0.386832229
228	0.3861043515
229	0.3857034434
230	0.3853426726
231	0.3850908031
232	0.3846876061
233	0.3842271556
234	0.3838831031
235	0.3833100029
236	0.3829475071
237	0.3825181381
238	0.3821858945
239	0.3819128617
240	0.3815069779
241	0.3811530735
242	0.3808236827
243	0.3804524297
244	0.3802265333
245	0.3798433718
246	0.3794051461
247	0.3790478914
248	0.3784808615
249	0.3782201352
250	0.3780863223
251	0.3776731076
252	0.3772695127
253	0.3768567293
254	0.3764635169
255	0.3761500483
256	0.3756915549
257	0.3753553971
258	0.3748165296
259	0.3747250101
260	0.3742599819
261	0.3738592728
262	0.3733769956
263	0.3732848789
264	0.3730740091
265	0.372902016
266	0.3724891663
267	0.3722980665
268	0.3719522891
269	0.3715976218
270	0.3713017671
271	0.3711780051
272	0.3707181184
273	0.3700681603
274	0.3698331087
275	0.3694477247
276	0.3691902161
277	0.3688038702
278	0.3681917937
279	0.367701688
280	0.3674874347
281	0.3671383402
282	0.3667394223
283	0.3662210879
284	0.3655929897
285	0.3652817436
286	0.3647467572
287	0.3645343946
288	0.3642030799
289	0.3638187906
290	0.363622682
291	0.3633938997
292	0.3633497155
293	0.362771905
294	0.3625080938
295	0.3621915734
296	0.3619171474
297	0.3615187935
298	0.361174542
299	0.3608779907
300	0.3606023706
301	0.3601974156
302	0.359911645
303	0.3596363233
304	0.3594558716
305	0.3591424693
306	0.3588797528
307	0.3584815316
308	0.3582001396
309	0.357860731
310	0.357465064
311	0.3571096669
312	0.3570137024
313	0.356789564
314	0.3565322213
315	0.355909928
316	0.3555746327
317	0.3553034907
318	0.3550427976
319	0.3548881199
320	0.3546219867
321	0.3543982464
322	0.35389192
323	0.353737574
324	0.3536130159
325	0.3535309501
326	0.3531370743
327	0.3528134553
328	0.3523782481
329	0.3520281584
330	0.351836727
331	0.3516497073
332	0.3513918338
333	0.3508624533
334	0.3504501343
335	0.3499033389
