iter	Passed	Remaining
0	3	3424
1	7	3822
2	11	3920
3	15	3938
4	20	4088
5	23	3903
6	27	3884
7	30	3796
8	34	3813
9	37	3715
10	41	3729
11	43	3609
12	47	3625
13	51	3649
14	54	3547
15	58	3568
16	60	3474
17	64	3500
18	68	3537
19	72	3546
20	76	3551
21	79	3553
22	83	3567
23	87	3566
24	91	3576
25	95	3581
26	99	3595
27	103	3593
28	107	3595
29	111	3596
30	115	3603
31	119	3605
32	123	3621
33	127	3619
34	131	3635
35	136	3648
36	140	3644
37	142	3613
38	147	3632
39	151	3631
40	155	3637
41	159	3638
42	163	3640
43	167	3641
44	171	3646
45	175	3647
46	179	3632
47	183	3633
48	187	3631
49	190	3626
50	194	3623
51	198	3625
52	201	3606
53	205	3600
54	209	3601
55	213	3592
56	215	3563
57	218	3556
58	222	3550
59	226	3550
60	230	3544
61	233	3538
62	237	3529
63	240	3516
64	243	3506
65	247	3498
66	251	3495
67	253	3477
68	257	3477
69	261	3474
70	264	3466
71	268	3461
72	272	3462
73	275	3451
74	279	3449
75	283	3451
76	287	3449
77	291	3444
78	294	3437
79	298	3432
80	302	3427
81	306	3426
82	310	3425
83	312	3405
84	316	3403
85	320	3403
86	324	3405
87	327	3393
88	331	3392
89	336	3401
90	339	3387
91	342	3379
92	344	3363
93	349	3366
94	353	3369
95	357	3370
96	361	3367
97	364	3357
98	368	3357
99	372	3353
100	376	3351
101	380	3351
102	385	3354
103	389	3352
104	392	3348
105	397	3352
106	400	3344
107	404	3342
108	408	3339
109	412	3340
110	417	3343
111	421	3344
112	425	3343
113	430	3342
114	433	3339
115	437	3336
116	441	3332
117	446	3334
118	450	3333
119	454	3330
120	457	3323
121	460	3316
122	464	3312
123	468	3307
124	471	3302
125	476	3306
126	480	3302
127	484	3298
128	487	3294
129	492	3293
130	495	3289
131	499	3284
132	503	3279
133	506	3276
134	510	3273
135	515	3272
136	518	3267
137	523	3268
138	527	3267
139	531	3262
140	533	3250
141	537	3246
142	541	3246
143	545	3244
144	549	3240
145	553	3237
146	557	3237
147	561	3234
148	565	3229
149	569	3227
150	574	3227
151	578	3225
152	582	3223
153	586	3221
154	590	3221
155	594	3217
156	598	3214
157	602	3211
158	607	3212
159	611	3207
160	615	3205
161	617	3194
162	622	3195
163	625	3187
164	629	3186
165	633	3183
166	638	3182
167	642	3179
168	646	3178
169	650	3178
170	655	3177
171	659	3173
172	663	3170
173	668	3171
174	672	3170
175	676	3167
176	680	3164
177	683	3157
178	687	3154
179	691	3150
180	695	3145
181	699	3142
182	702	3137
183	706	3133
184	710	3130
185	714	3128
186	718	3124
187	722	3118
188	725	3113
189	730	3112
190	734	3109
191	738	3106
192	742	3104
193	746	3102
194	750	3099
195	754	3095
196	758	3092
197	763	3091
198	767	3088
199	771	3085
200	775	3081
201	779	3078
202	782	3073
203	786	3070
204	790	3066
205	794	3064
206	798	3059
207	802	3055
208	806	3050
